Tweet,Source Type,Source URL
"Ayo.. Dukung dan Sukseskan PON XX Papua 2021. Torang Bisa!!

Vaksin Sukseskan PON https://t.co/klWgjZup36",Twitter Web App,https://t.co/klWgjZup36
"Untuk urusan vaksinasi ini, pemerintah mengedepankan prinsip transparansi dan saling kontrol mengelola vaksin, mulai dari pengaturan kedatangan vaksin, proses distribusi hingga pengaturan ketentuan penyuntikan vaksin. Pokoknya semua dlm pengawasan ketat dr Sabang sampai Merauke",Twitter for Android,Merauke
"@justine_nolan Good luck,Maret dia baru boleh vaksin 🤫😁",Twitter for Android,🤫😁
"Ayo.. Dukung dan Sukseskan PON XX Papua 2021. Torang Bisa!!

Vaksin Sukseskan PON https://t.co/iVUALOeFku",Twitter Web App,https://t.co/iVUALOeFku
"Ayo.. Dukung dan Sukseskan PON XX Papua 2021. Torang Bisa!!

Vaksin Sukseskan PON https://t.co/5egimg1DUh",Twitter Web App,https://t.co/5egimg1DUh
"Ayo.. Dukung dan Sukseskan PON XX Papua 2021. Torang Bisa!!

Vaksin Sukseskan PON https://t.co/wmUBgV7VqU",Twitter Web App,https://t.co/wmUBgV7VqU
"Ayo.. Dukung dan Sukseskan PON XX Papua 2021. Torang Bisa!!

Vaksin Sukseskan PON https://t.co/mX1dCEirxF",Twitter Web App,https://t.co/mX1dCEirxF
"Ayo.. Dukung dan Sukseskan PON XX Papua 2021. Torang Bisa!!

Vaksin Sukseskan PON https://t.co/Gh8wiKCdNT",Twitter Web App,https://t.co/Gh8wiKCdNT
"Ayo.. Dukung dan Sukseskan PON XX Papua 2021. Torang Bisa!!

Vaksin Sukseskan PON https://t.co/49lK3QdRwi",Twitter Web App,https://t.co/49lK3QdRwi
tadi cikgu vaksin i tgh ckp ii tapi i tgh dgr lagu sbb taknak nervous en. time cikgu tu cakap lah lagu wolfgang dtg. cikgu tu ckp i angguk je padahal dalam hati woof woof,Twitter for Android,woof
Akhirnya selesai pulang vaksin ke-2,Twitter for Android,ke-2
"Pergi ambil vaksin lah cepat. Nak tunggu bulan jatuh hempas ke bumi ke nanti baru terkial-kial nak ambil vaksin?

Kesian lah dekat orang lain juga. https://t.co/RqkvntRsZr",Twitter for iPhone,https://t.co/RqkvntRsZr
Ak dah selesai vaksin✊🏻,Twitter for Android,vaksin✊🏻
@PLindungi sudah vaksin tetapi sertifikat blm dapat diterbitkan karena di peduli lindungi tidak tersedia. Bagaimana solusinya? Terimakasih,Twitter for Android,Terimakasih
"VAKSINASI REMAJA | MENANG BERSAMA | VOX POP

Program Imunisasi COVID-19 Kebangsaan (PICK) Remaja mendapat reaksi positif daripada ibu bapa serta keterujaan di raut wajah penerima vaksin.

https://t.co/4IWAzN3AJd",Twitter for Android,https://t.co/4IWAzN3AJd
Polis rakam keterangan suspek dakwa pelajar maut selepas vaksin https://t.co/Gbm0e8Tlxu,dlvr.it,https://t.co/Gbm0e8Tlxu
@itajegegbaliid Wah jadi terbukti aman ya kak vaksin itu jadi ga usah ragu deh kalau mau ikut vaksin C-19 #VaksinasiMerata,Twitter Web App,#VaksinasiMerata
"@tubirfess Pastinya ga semua orang punya pengalaman yg sama, tapi intinya, efek vaksin memang gabisa digeneralisir menurutku",Twitter for Android,menurutku
@infoJATIASIH mohon infonya min kalau ada vaksin sekitaran jatiasih🙏 Terima kasiii,Twitter for Android,kasiii
@almonodi beneran? elah besok w vaksin 👎,Twitter for iPhone,👎
@kyseolie @cheemisier @onlvyfans bsa tp hrus pkek krtu vaksin,Twitter for iPhone,vaksin
"Provinsi yang tinggi program vaksinasi dosis dua adalah DKI Jakarta, lalu ada Bali, Kep.Riau dan DIY Yogyakarta. Yang paling rendah adalah Lampung, Maluku Utara dan Aceh.  datangnya dosis vaksin, semoga #VaksinasiMerata segera bisa menjangkau wilayah dari Sabang sampai Merauke",Twitter for Android,Merauke
"Syukurlah Indonesia masuk 10 besar negara di dunia dengan jumlah vaksinasi tertinggi.

Yuk yang belum vaksin, segerakan ya.

#VaksinasiMerata akan terus digelar dari Sabang sampai Merauke nih😍 https://t.co/VX0GqSlmRL",Twitter for Android,https://t.co/VX0GqSlmRL
@OhMyCila NAGIH DI VAKSIN GAK SIH? GUE NAGIH,Twitter for iPhone,NAGIH
@EuisSriNur Setuju jangan pilah pilih vaksin ya kak supaya cepat tercapai kekebalan kelompok bersama #VaksinasiMerata,Twitter Web App,#VaksinasiMerata
"NIK dipakai orang lain saat vaksin, bagaimana solusinya? https://t.co/cZLSOXaS47",Twitter Web App,https://t.co/cZLSOXaS47
"AKU UDAH VAKSIN AJEHQJHSA AKU MAU RIPIU, pas dicucuk jarum skit berasa ditusuk pulpen😁 TP SAKITNYA BENTARAN DOANG 😇😇😇 https://t.co/qRBowrcZYo",Twitter for Android,https://t.co/qRBowrcZYo
"Yuk yuk temen2 dari Sabang Sampai Merauke yang belum vaksin segera vaksin. Bukan hanya sekedar dapat sertifikat. Tapi vakin bisa menjaga kesehatan diri sendiri dan orang lain.

#VaksinasiMerata",Twitter for Android,#VaksinasiMerata
@retnoWardhana Bagian dari iman ikutan vaksin  #VaksinasiMerata,Twitter for Android,#VaksinasiMerata
buset bener² vaksin kedua udah kek antri sembako👍🏿,Twitter for Android,sembako👍🏿
"@tubirfess Sebenernya efek vaksin di tiap orang tu beda beda nder, sebelum suntik vaksin az kedua, jujur takut banget tumbang karena banyak dapet cerita 2nd doze efeknya lebih parah. Tapi abis suntik, malah ga kenapa napa. Ngilu doang sih, itu pun cuma sehari. Besoknya malah biasa aja",Twitter for Android,aja
akhirnya udah vaksin kedua hehehe,Twitter for Android,hehehe
"Pernyataan/Video Lukas Enembe yang mengajak masyarakat datang berbondong-bondong menonton pertandingan PON adalah Hoax;  Kapasitas Venue PON Maksimal 25% dan Masyarakat yang ingin menonton secara langsung wajib mengikuti Prokes ketat

Vaksin Sukseskan PON https://t.co/fBuewV7QRO",Twitter Web App,https://t.co/fBuewV7QRO
