Text,URL
['[SALAH] Foto Ajakan untuk Stop Upload Berita Covid-19 oleh Pemerintah Kabupaten Gresik'],https://turnbackhoax.id/2021/07/18/salah-foto-ajakan-untuk-stop-upload-berita-covid-19-oleh-pemerintah-kabupaten-gresik/
['[SALAH] Video “Potensi Bahaya Vaksin COVID-19”'],https://turnbackhoax.id/2021/07/17/salah-video-potensi-bahaya-vaksin-covid-19/
['[SALAH] Air Keran Dapat Positif Covid-19 Setelah Ditest Menggunakan Device Rapid Test Antigen'],https://turnbackhoax.id/2021/07/17/salah-air-keran-dapat-positif-covid-19-setelah-ditest-menggunakan-device-rapid-test-antigen/
['[SALAH] Daun Teh Pinus Putih hentikan bahaya Vaksin Covid-19'],https://turnbackhoax.id/2021/07/17/salah-daun-teh-pinus-putih-hentikan-bahaya-vaksin-covid-19/
['[SALAH] Detektor Radiasi Elektromagnetik dapat Mendeteksi Radiasi dari Vaksin Covid-19'],https://turnbackhoax.id/2021/07/14/salah-detektor-radiasi-elektromagnetik-dapat-mendeteksi-radiasi-dari-vaksin-covid-19/
['[SALAH] Video Akting Plandemi Jenazah Pasien Covid-19 dapat Bergerak'],https://turnbackhoax.id/2021/07/13/salah-video-akting-plandemi-jenazah-pasien-covid-19-dapat-bergerak/
"['[SALAH] Racikan Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Membunuh Virus Covid-19']",https://turnbackhoax.id/2021/07/12/salah-racikan-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-membunuh-virus-covid-19/
['[SALAH] FDA Amerika Sebut Invermectin Dapat Digunakan Untuk Sembuhkan Covid-19'],https://turnbackhoax.id/2021/07/12/salah-fda-amerika-sebut-invermectin-dapat-digunakan-untuk-sembuhkan-covid-19/
['[SALAH] “Varian baru Covid-19 tidak lain dari infeksi protein spike dari vaksin”'],https://turnbackhoax.id/2021/07/09/salah-varian-baru-covid-19-tidak-lain-dari-infeksi-protein-spike-dari-vaksin/
"['[SALAH] Campuran Air Panas dan Lemon, Rahasia Vietnam Tak Alami Kasus Kematian Akibat Covid-19']",https://turnbackhoax.id/2021/07/09/salah-campuran-air-panas-dan-lemon-rahasia-vietnam-tak-alami-kasus-kematian-akibat-covid-19/
"['[FALSE] Biopharmaceutical Company Moderna, Inc Developed a Covid-19 Vaccine Before the Emergence of the Pandemic']",https://turnbackhoax.id/2021/07/04/false-biopharmaceutical-company-moderna-inc-developed-a-covid-19-vaccine-before-the-emergence-of-the-pandemic/
